,"ja","en"
"name","テキスト","Text"
"fields.main:label","テキスト","Text"
"fields.text-align:label","行の揃え位置","Text alignment"
"fields.text-align:options.0.label","指定しない (親要素の組み方に従う)","None (Inherit)"
"fields.text-align:options.1.label","左揃え","Left"
"fields.text-align:options.2.label","中央揃え","Center"
"fields.text-align:options.3.label","右揃え","Right"
"fields.font-size:label","文字サイズ","Font size"
"fields.font-size:options.0.label","とても大きい","LL"
"fields.font-size:options.1.label","大きい","L"
"fields.font-size:options.2.label","指定なし","Normal"
"fields.font-size:options.3.label","小さい","S"
"fields.font-size:options.4.label","とても小さい","SS"
"fields.paragraph:label","前後の自然なマージン","Margin"
"fields.paragraph:options.0.label","なし","None"
"fields.paragraph:options.1.label","前後の自然なマージン","Natural Margin"
