,"ja","en"
"name","グリッド","Grid"
"fields.col:label","カラム","Column"
"subModule.col.column-width:label","幅","Width"
"subModule.col.column-width:options.0.label","フルカラム","Full column"
"subModule.col.column-width:options.1.label","1/2 幅","1/2"
"subModule.col.column-width:options.2.label","1/3 幅","1/3"
"subModule.col.column-width:options.3.label","2/3 幅","2/3"
"subModule.col.column-width:options.4.label","1/4 幅","1/4"
"subModule.col.column-width:options.5.label","3/4 幅","3/4"
"subModule.col.column-width:options.6.label","1/5 幅","1/5"
"subModule.col.column-width:options.7.label","2/5 幅","2/5"
"subModule.col.column-width:options.8.label","3/5 幅","3/5"
"subModule.col.column-width:options.9.label","4/5 幅","4/5"
"subModule.col.column-width:options.10.label","1/6 幅","1/6"
"subModule.col.column-width:options.11.label","5/6 幅","5/6"
"subModule.col.column-width-lg:label","PCサイズのときの幅","Width for PC size"
"subModule.col.column-width-lg:options.0.label","",""
"subModule.col.column-width-lg:options.1.label","フルカラム","Full column"
"subModule.col.column-width-lg:options.2.label","1/2 幅","1/2"
"subModule.col.column-width-lg:options.3.label","1/3 幅","1/3"
"subModule.col.column-width-lg:options.4.label","2/3 幅","2/3"
"subModule.col.column-width-lg:options.5.label","1/4 幅","1/4"
"subModule.col.column-width-lg:options.6.label","3/4 幅","3/4"
"subModule.col.column-width-lg:options.7.label","1/5 幅","1/5"
"subModule.col.column-width-lg:options.8.label","2/5 幅","2/5"
"subModule.col.column-width-lg:options.9.label","3/5 幅","3/5"
"subModule.col.column-width-lg:options.10.label","4/5 幅","4/5"
"subModule.col.column-width-lg:options.11.label","1/6 幅","1/6"
"subModule.col.column-width-lg:options.12.label","5/6 幅","5/6"
"subModule.col.column-width-md:label","タブレットサイズのときの幅","Width for Tablet size"
"subModule.col.column-width-md:options.0.label","",""
"subModule.col.column-width-md:options.1.label","フルカラム","Full column"
"subModule.col.column-width-md:options.2.label","1/2 幅","1/2"
"subModule.col.column-width-md:options.3.label","1/3 幅","1/3"
"subModule.col.column-width-md:options.4.label","2/3 幅","2/3"
"subModule.col.column-width-md:options.5.label","1/4 幅","1/4"
"subModule.col.column-width-md:options.6.label","3/4 幅","3/4"
"subModule.col.column-width-md:options.7.label","1/5 幅","1/5"
"subModule.col.column-width-md:options.8.label","2/5 幅","2/5"
"subModule.col.column-width-md:options.9.label","3/5 幅","3/5"
"subModule.col.column-width-md:options.10.label","4/5 幅","4/5"
"subModule.col.column-width-md:options.11.label","1/6 幅","1/6"
"subModule.col.column-width-md:options.12.label","5/6 幅","5/6"
"subModule.col.column-width-sm:label","スマートフォンサイズのときの幅","Width for Smart phone size"
"subModule.col.column-width-sm:options.0.label","",""
"subModule.col.column-width-sm:options.1.label","フルカラム","Full column"
"subModule.col.column-width-sm:options.2.label","1/2 幅","1/2"
"subModule.col.column-width-sm:options.3.label","1/3 幅","1/3"
"subModule.col.column-width-sm:options.4.label","2/3 幅","2/3"
"subModule.col.column-width-sm:options.5.label","1/4 幅","1/4"
"subModule.col.column-width-sm:options.6.label","3/4 幅","3/4"
"subModule.col.column-width-sm:options.7.label","1/5 幅","1/5"
"subModule.col.column-width-sm:options.8.label","2/5 幅","2/5"
"subModule.col.column-width-sm:options.9.label","3/5 幅","3/5"
"subModule.col.column-width-sm:options.10.label","4/5 幅","4/5"
"subModule.col.column-width-sm:options.11.label","1/6 幅","1/6"
"subModule.col.column-width-sm:options.12.label","5/6 幅","5/6"
"subModule.col.main:label","内容","Contents"
