,"ja","en"
"name","リンクリスト","Link List"
"fields.class:label","リストスタイル","List style"
"fields.class:options.0.label","標準リスト","Standard list"
"fields.class:options.1.label","垂直リスト","Vertical list"
"fields.class:options.2.label","水平リスト","Horizontal list"
"fields.class:options.3.label","水平リスト (左寄せ)","Horizontal list (left)"
"fields.class:options.4.label","水平リスト (中央寄せ)","Horizontal list (center)"
"fields.class:options.5.label","水平リスト (右寄せ)","Horizontal list (right)"
"fields.class:options.6.label","注釈リスト","Note list"
"fields.loop:label","リストアイテム","List items"
"subModule.loop.href:label","リンク先","Link to..."
"subModule.loop.label:label","ラベル","Label"
"subModule.loop.target:label","リンク先の表示方法","Target window"
"subModule.loop.target:options.0.label","デフォルト","Defaut"
"subModule.loop.target:options.1.label","新規ウィンドウ (_blank)","New window (_blank)"
