,"ja","en"
"name","メディアリスト","Media List"
"fields.class:label","リストスタイル","List style"
"fields.class:options.0.label","標準","Standard"
"fields.class:options.1.label","カードスタイル","Card style"
"fields.list-item-width:label","幅","Width"
"fields.list-item-width:options.0.label","フルカラム","Full column"
"fields.list-item-width:options.1.label","1/2 幅","1/2"
"fields.list-item-width:options.2.label","1/3 幅","1/3"
"fields.list-item-width:options.3.label","1/4 幅","1/4"
"fields.list-item-width:options.4.label","1/5 幅","1/5"
"fields.list-item-width:options.5.label","1/6 幅","1/6"
"fields.list-item-width-lg:label","PCサイズのときの幅","Width (PC size)"
"fields.list-item-width-lg:options.0.label","フルカラム","Full column"
"fields.list-item-width-lg:options.1.label","1/2 幅","1/2"
"fields.list-item-width-lg:options.2.label","1/3 幅","1/3"
"fields.list-item-width-lg:options.3.label","1/4 幅","1/4"
"fields.list-item-width-lg:options.4.label","1/5 幅","1/5"
"fields.list-item-width-lg:options.5.label","1/6 幅","1/6"
"fields.list-item-width-md:label","タブレットサイズのときの幅","Width (Tablet size)"
"fields.list-item-width-md:options.0.label","フルカラム","Full column"
"fields.list-item-width-md:options.1.label","1/2 幅","1/2"
"fields.list-item-width-md:options.2.label","1/3 幅","1/3"
"fields.list-item-width-md:options.3.label","1/4 幅","1/4"
"fields.list-item-width-md:options.4.label","1/5 幅","1/5"
"fields.list-item-width-md:options.5.label","1/6 幅","1/6"
"fields.list-item-width-sm:label","スマートフォンサイズのときの幅","Width (Smart Phone size)"
"fields.list-item-width-sm:options.0.label","フルカラム","Full column"
"fields.list-item-width-sm:options.1.label","1/2 幅","1/2"
"fields.list-item-width-sm:options.2.label","1/3 幅","1/3"
"fields.list-item-width-sm:options.3.label","1/4 幅","1/4"
"fields.list-item-width-sm:options.4.label","1/5 幅","1/5"
"fields.list-item-width-sm:options.5.label","1/6 幅","1/6"
"fields.loop:label","リストアイテム","List items"
"subModule.loop.href:label","リンク先","Link to..."
"subModule.loop.label:label","ラベル","Label"
"subModule.loop.target:label","リンク先の表示方法","Target window"
"subModule.loop.target:options.0.label","デフォルト","Defaut"
"subModule.loop.target:options.1.label","新規ウィンドウ (_blank)","New window (_blank)"
"subModule.loop.image:label","画像メディア","Image media"
"subModule.loop.description:label","リンクの説明","Description"
