,"ja","en"
"name","リスト","List"
"fields.class:label","リストスタイル","List style"
"fields.class:options.0.label","標準リスト","Standard list"
"fields.class:options.1.label","垂直リスト","Vertical list"
"fields.class:options.2.label","水平リスト","Horizontal list"
"fields.class:options.3.label","水平リスト (左寄せ)","Horizontal list (left)"
"fields.class:options.4.label","水平リスト (中央寄せ)","Horizontal list (center)"
"fields.class:options.5.label","水平リスト (右寄せ)","Horizontal list (right)"
"fields.class:options.6.label","注釈リスト","Note list"
"fields.loop:label","リストアイテム","List items"
"subModule.loop.modules:label","リストアイテム","List item"
