,"ja","en"
"name","フロートメディア","Floating Media"
"fields.heading:label","見出しエリア","Heading area"
"fields.heading:description","このエリアは、スクリーン幅が狭いとき、画像メディアよりも先に表示されます。","This area is displayed before the image media when the screen width is narrow."
"fields.lr:label","回り込み方向","Wrapping direction"
"fields.lr:options.0.label","メディアを左に配置","Align media left"
"fields.lr:options.1.label","メディアを右に配置","Align Media Right"
"fields.lr:options.2.label","メディアを中央に配置 (回り込まない)","Center media (do not wrap around)"
"fields.image-size:label","メディアサイズ","Media size"
"fields.image-size:options.0.label","1/4 幅","1/4 width"
"fields.image-size:options.1.label","1/3 幅","1/3 width"
"fields.image-size:options.2.label","1/2 幅","1/2 width"
"fields.image-size:options.3.label","2/3 幅","2/3 width"
"fields.image-size:options.4.label","幅いっぱい","Full width"
"fields.media:label","メディア","Media"
"fields.body_rect:label","回り込み/矩形維持","wrap/keep rectangle"
"fields.body_rect:options.0.label","回り込み","Roundabout"
"fields.body_rect:options.1.label","矩形を維持","Keep rectangle"
"fields.main:label","本文","Main text"
