,"ja","en"
"name","ダウンロードボタン","Download Button"
"fields.targetFile:label","ダウンロードファイル","Download file"
"fields.downloadFilename:label","ダウンロードファイル名","Download file name"
"fields.label:label","ラベル","Label"
"fields.class:label","リンクスタイル","Link style"
"fields.class:options.0.label","なし","None"
"fields.class:options.1.label","標準ビュレット","Standard bullet"
"fields.class:options.2.label","標準ボタン風","like Default button"
"fields.class:options.3.label","プライマリボタン風","like Primary button"
"fields.class:options.4.label","セカンダリボタン風","like Secondary button"
"fields.class:options.5.label","危険ボタン風","like Danger button"
"fields.class:options.6.label","ダウンロードボタン風","like Download button"
"fields.display:label","ディスプレイタイプ","Display type"
"fields.display:options.0.label","標準","Normal"
"fields.display:options.1.label","ブロック","Block"
"fields.align:label","揃え位置","Alignment"
"fields.align:options.0.label","指定しない (親要素の組み方に従う)","None (Inherit)"
"fields.align:options.1.label","左揃え","Left"
"fields.align:options.2.label","中央揃え","Center"
"fields.align:options.3.label","右揃え","Right"
"fields.paragraph:label","前後の自然なマージン","Margin"
"fields.paragraph:options.0.label","なし","None"
"fields.paragraph:options.1.label","前後の自然なマージン","Natural Margin"
