,"ja","en"
"name","汎用ボタン","Button"
"fields.label:label","ラベル","Label"
"fields.intention:label","ボタンスタイル","Button style"
"fields.intention:options.0.label","標準","None"
"fields.intention:options.1.label","プライマリボタン","Primary button"
"fields.intention:options.2.label","セカンダリボタン","Secondary button"
"fields.intention:options.3.label","危険ボタン","Danger button"
"fields.intention:options.4.label","ダウンロードボタン","Download button"
"fields.sizing:label","ボタンサイズ","Button size"
"fields.sizing:options.0.label","小さい","Small"
"fields.sizing:options.1.label","標準","Normal"
"fields.sizing:options.2.label","大きい","Large"
"fields.display:label","ディスプレイタイプ","Display type"
"fields.display:options.0.label","標準","Normal"
"fields.display:options.1.label","ブロック","Block"
"fields.btntype:label","ボタンタイプ","Button type"
"fields.btntype:options.0.label","ボタン","Button"
"fields.btntype:options.1.label","送信ボタン","Submit button"
"fields.onclick:label","ボタンアクション","Button action"
"fields.align:label","揃え位置","Alignment"
"fields.align:options.0.label","指定しない (親要素の組み方に従う)","None (Inherit)"
"fields.align:options.1.label","左揃え","Left"
"fields.align:options.2.label","中央揃え","Center"
"fields.align:options.3.label","右揃え","Right"
"fields.paragraph:label","前後の自然なマージン","Margin"
"fields.paragraph:options.0.label","なし","None"
"fields.paragraph:options.1.label","前後の自然なマージン","Natural Margin"
