,"ja","en"
"name","ユーティリティブロック","Utility Block"
"fields.paragraph:label","前後の自然なマージン","Margin"
"fields.paragraph:options.0.label","なし","None"
"fields.paragraph:options.1.label","前後の自然なマージン","Natural Margin"
"fields.text-align:label","行の揃え位置","Text alignment"
"fields.text-align:options.0.label","指定しない (親要素の組み方に従う)","None (Inherit)"
"fields.text-align:options.1.label","左揃え","Left"
"fields.text-align:options.2.label","中央揃え","Center"
"fields.text-align:options.3.label","右揃え","Right"
"fields.font-size:label","文字サイズ","Font size"
"fields.font-size:options.0.label","とても大きい","LL"
"fields.font-size:options.1.label","大きい","L"
"fields.font-size:options.2.label","指定なし","Normal"
"fields.font-size:options.3.label","小さい","S"
"fields.font-size:options.4.label","とても小さい","SS"
"fields.text-color:label","文字色","Text color"
"fields.background-color:label","背景色","Background color"
"fields.background-image:label","背景画像","Background image"
"fields.min-height:label","高さ","Height"
"fields.min-height:description","最低限確保する高さを指定します。単位を含めて入力してください。 (例: 600px)","Specify the minimum height to be secured. Please enter including the unit. (Example: 600px)"
"fields.margin-padding:label","ボックス内、ボックス外の隙間","Gap inside and outside the box"
"fields.main:label","内容","Contents"
